File Name,Length,ADF Statistic,ADF Regression,ADF p-value,ADF lags,ADF Critical Value 10%,ADF Critical Value 5%,KPSS Statistics,KPSS Regression,KPSS p-value,KPSS Critical Value 10%,KPSS Critical Value 5%
daily_temperature_Bamberg.csv,21912,-11.233439586022024,c,1.8826320802650346e-20,47,-2.5668403681154426,-2.8616722033358686,0.2654159214267894,c,0.1,0.347,0.463
daily_temperature_Bamberg_1981-1990.csv,3652,-4.408536523873842,c,0.00028667543028363507,16,-2.567193431297053,-2.8623354519441797,0.0754205589108631,c,0.1,0.347,0.463
daily_temperature_Bamberg_1961-1970.csv,3652,-3.691032061950976,c,0.004241079163744021,18,-2.5671936645169833,-2.862335890025229,0.04346918501152263,c,0.1,0.347,0.463
daily_temperature_Bamberg_2011-2020.csv,3650,-3.574428453163948,c,0.006269145542678526,19,-2.567194014828981,-2.8623365480522964,0.06714355376738312,c,0.1,0.347,0.463
daily_temperature_test1.csv,7305,-5.603896921984047,c,1.246816870969719e-06,18,-2.5669811975753363,-2.861936772147779,0.0269784606803817,c,0.1,0.347,0.463
daily_temperature_training.csv,7305,-6.025104993033541,c,1.462284021510252e-07,16,-2.566981139603197,-2.861936663242156,0.07231678728009154,c,0.1,0.347,0.463
daily_temperature_test2.csv,7302,-5.519715826057125,c,1.8896646686674334e-06,18,-2.5669812845932594,-2.861936935618387,0.03289206375882926,c,0.1,0.347,0.463
daily_temperature_Bamberg_2001-2010.csv,3652,-3.4214324293573877,c,0.010249582171920568,23,-2.567194248692334,-2.8623369873418363,0.03372776617321193,c,0.1,0.347,0.463
daily_temperature_Bamberg_1971-1980.csv,3653,-4.626039208424445,c,0.00011562312580725506,14,-2.5671930819481976,-2.862334795726108,0.03489598643840635,c,0.1,0.347,0.463
daily_temperature_Bamberg_1991-2000.csv,3653,-4.060739401767551,c,0.0011238141282031195,15,-2.5671931983337477,-2.8623350143451307,0.045255252239128275,c,0.1,0.347,0.463
daily_temperature_Bamberg.csv,21912,-6.608072620837225,n,4.503478927479105e-10,47,-1.6168078578520824,-1.941012292071014,0.2654159214267894,c,0.1,0.347,0.463
daily_temperature_Bamberg_1981-1990.csv,3652,-2.73486161225457,n,0.006074976692168107,16,-1.6167471374719102,-1.9410741467287853,0.0754205589108631,c,0.1,0.347,0.463
daily_temperature_Bamberg_1961-1970.csv,3652,-2.4508509595043404,n,0.01375969125694844,18,-1.6167470974729719,-1.9410741876868018,0.04346918501152263,c,0.1,0.347,0.463
daily_temperature_Bamberg_2011-2020.csv,3650,-1.9802388491833767,n,0.045579866621281884,19,-1.6167470373921538,-1.9410742492087383,0.06714355376738312,c,0.1,0.347,0.463
daily_temperature_test1.csv,7305,-3.5337277549745942,n,0.00042824396152085195,18,-1.616783597586797,-1.941036928528201,0.0269784606803817,c,0.1,0.347,0.463
daily_temperature_training.csv,7305,-3.6437005027766793,n,0.00028623020546166407,17,-1.6167836025753282,-1.9410369234517983,0.07231678728009154,c,0.1,0.347,0.463
daily_temperature_test2.csv,7302,-3.132548682905433,n,0.001726769275026817,18,-1.6167835826129957,-1.9410369437657875,0.03289206375882926,c,0.1,0.347,0.463
daily_temperature_Bamberg_2001-2010.csv,3652,-2.112256746789443,n,0.03324052494849519,23,-1.6167469972832291,-1.9410742902800802,0.03372776617321193,c,0.1,0.347,0.463
daily_temperature_Bamberg_1971-1980.csv,3653,-2.695192467930893,n,0.006838125342726748,14,-1.6167471973880885,-1.9410740853764852,0.03489598643840635,c,0.1,0.347,0.463
daily_temperature_Bamberg_1991-2000.csv,3653,-2.479195665008446,n,0.012721330174932217,15,-1.616747177426981,-1.9410741058159677,0.045255252239128275,c,0.1,0.347,0.463
daily_temperature_Bamberg.csv,21912,-11.273975254421082,ct,6.864471582371087e-18,47,-3.1271682665370317,-3.4106908238829594,0.004041505234436965,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1981-1990.csv,3652,-4.390149372524884,ct,0.002270266162930511,16,-3.127761604256857,-3.4116984977348475,0.03905831722597977,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1961-1970.csv,3652,-3.6649008055935,ct,0.02477518307445922,18,-3.127761996165695,-3.4116991634017135,0.030605976374806478,ct,0.1,0.119,0.146
daily_temperature_Bamberg_2011-2020.csv,3650,-3.5470954940033765,ct,0.03461517546172655,19,-3.1277625848390205,-3.41170016327814,0.02651165717230327,ct,0.1,0.119,0.146
daily_temperature_test1.csv,7305,-5.593492222387339,ct,1.5016925783547933e-05,18,-3.127404946352724,-3.411092750623303,0.01284144430142266,ct,0.1,0.119,0.146
daily_temperature_training.csv,7305,-6.010831242713649,ct,2.0846240672956307e-06,16,-3.1274048489267128,-3.4110925851674785,0.013981551256173553,ct,0.1,0.119,0.146
daily_temperature_test2.csv,7302,-5.507054466017886,ct,2.2316939459443074e-05,18,-3.127405092592091,-3.4110929989774745,0.01656807396692037,ct,0.1,0.119,0.146
daily_temperature_Bamberg_2001-2010.csv,3652,-3.429306511539434,ct,0.04759376050001274,23,-3.1277629778289926,-3.411700830781613,0.03200329333927233,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1971-1980.csv,3653,-4.623882497900467,ct,0.0009400758801283446,14,-3.127761017201887,-3.411697500607647,0.034693058143373215,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1991-2000.csv,3653,-4.039824827787421,ct,0.007712970587888636,15,-3.127761212779224,-3.411697832800502,0.03464597990157226,ct,0.1,0.119,0.146
daily_temperature_Bamberg.csv,21912,-11.273627529253064,ctt,5.933077842584465e-18,47,-3.553427391246817,-3.832660136823369,0.004041505234436965,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1981-1990.csv,3652,-4.39975212888776,ctt,0.00914390626518116,16,-3.5542671694446497,-3.8340156244815558,0.03905831722597977,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1961-1970.csv,3652,-3.6640554468382343,ctt,0.07687314901874409,18,-3.5542677241228207,-3.8340165199262,0.030605976374806478,ct,0.1,0.119,0.146
daily_temperature_Bamberg_2011-2020.csv,3650,-3.5465201729517477,ctt,0.10160248773467595,19,-3.554268557286567,-3.834017864944344,0.02651165717230327,ct,0.1,0.119,0.146
daily_temperature_test1.csv,7305,-5.591482892493932,ctt,8.472952600827381e-05,18,-3.5537623782128733,-3.833200790073383,0.01284144430142266,ct,0.1,0.119,0.146
daily_temperature_training.csv,7305,-6.01027702821896,ctt,1.2192859033196921e-05,16,-3.553762240320936,-3.8332005675086465,0.013981551256173553,ct,0.1,0.119,0.146
daily_temperature_test2.csv,7302,-5.515410994819468,ctt,0.00011876544106010908,18,-3.5537625851928083,-3.833201124149751,0.01656807396692037,ct,0.1,0.119,0.146
daily_temperature_Bamberg_2001-2010.csv,3652,-3.4367373908845527,ctt,0.12977125126614875,23,-3.5542691134948665,-3.8340187628596074,0.03200329333927233,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1971-1980.csv,3653,-4.608598686955459,ctt,0.004459296230966505,14,-3.5542663385713613,-3.8340142831616935,0.034693058143373215,ct,0.1,0.119,0.146
daily_temperature_Bamberg_1991-2000.csv,3653,-4.036478402672548,ctt,0.028362931668457825,15,-3.5542666153767626,-3.8340147300223046,0.03464597990157226,ct,0.1,0.119,0.146
