,start,end,score
0,347497200.0,350607600.0,0.005914704026486704
1,351990000.0,355100400.0,0.007756896517818665
2,447030000.0,450140400.0,0.037138926035616436
3,457052400.0,460162800.0,0.008658087520283226
4,474678000.0,477788400.0,0.022128387420977728
5,509929200.0,513039600.0,0.052388873485562044
6,519606000.0,523062000.0,0.007118356260385525
7,540687600.0,543798000.0,0.001133458427545168
8,572137200.0,575247600.0,0.0014880451024030302
9,758415600.0,761526000.0,0.02903074443781116
10,783644400.0,786754800.0,0.0032254271836521
11,790902000.0,794012400.0,0.008032671422387203
12,919119600.0,922230000.0,0.041055475500006954
13,351990000.0,355100400.0,0.008508620362607189
14,447030000.0,450140400.0,0.005447217692612097
15,457052400.0,460162800.0,0.006442682316626937
16,474678000.0,477788400.0,0.013572346449906373
17,509929200.0,513039600.0,0.0693566495181786
18,519606000.0,522716400.0,0.010649380114458916
19,790556400.0,793666800.0,0.000665251270408433
20,351644400.0,354754800.0,0.01666853825955192
21,366159600.0,369270000.0,0.04426536836863989
22,381366000.0,384476400.0,0.02464257140682739
23,446338800.0,449449200.0,0.07731780853196944
24,509583600.0,512694000.0,0.04699933078166763
25,523753200.0,526863600.0,0.002940555391856379
26,539996400.0,543106800.0,0.02115097025617448
27,587343600.0,590454000.0,0.019812783570569176
28,606351600.0,609462000.0,0.043216060307756786
29,710722800.0,713833200.0,0.010147323372069734
30,757724400.0,760834800.0,0.05427641530539244
31,790902000.0,794012400.0,0.011933793943163002
32,901148400.0,904604400.0,0.008564323583639665
33,918428400.0,921538800.0,0.03410507359504195
34,946422000.0,949532400.0,0.004105983200868509
35,965084400.0,968194800.0,0.020505744387036024
36,351644400.0,354754800.0,0.05071118899593178
37,366159600.0,369270000.0,0.037780601273144504
38,446338800.0,449449200.0,0.035133824040929115
39,509583600.0,512694000.0,0.05186561862282574
40,587343600.0,590454000.0,0.013389604727416725
41,606351600.0,609462000.0,0.03988792597049659
42,757724400.0,760834800.0,0.018429964698986594
43,790902000.0,794012400.0,0.011018610742938575
44,901494000.0,904604400.0,0.011472909682586515
45,946422000.0,949532400.0,0.0012526827878954635
46,965084400.0,968194800.0,0.02014682034058412
47,351298800.0,354754800.0,0.01682894231353541
48,366505200.0,369615600.0,0.0246322055526828
49,392079600.0,395190000.0,0.04382363556965184
50,395535600.0,399337200.0,0.003144942412908028
51,446338800.0,451522800.0,0.03443582707786395
52,456706800.0,459817200.0,0.03131956817707794
53,473986800.0,477097200.0,0.04354303720623685
54,509583600.0,512694000.0,0.07650676256804573
55,513385200.0,516495600.0,0.003216185133387593
56,519260400.0,522370800.0,0.0662826534263861
57,542415600.0,545526000.0,0.017073051020793532
58,571791600.0,574902000.0,0.042146529046731274
59,670978800.0,674089200.0,0.042024180214089775
60,694134000.0,697244400.0,0.004866754366344805
61,731804400.0,735260400.0,0.0007897873830109243
62,745628400.0,748738800.0,0.032407626897957835
63,757724400.0,760834800.0,0.015648582187290767
64,783298800.0,786409200.0,0.014143088292619647
65,790210800.0,793321200.0,0.003447458501674441
66,816476400.0,819932400.0,0.07947736288292039
67,882831600.0,885942000.0,0.028463331672286072
68,886633200.0,889743600.0,0.022460978182680516
69,918428400.0,921538800.0,0.045923549239412796
70,946422000.0,949532400.0,0.020516720790084483
71,351298800.0,354754800.0,0.051670258062963485
72,366505200.0,369615600.0,0.019649353443383966
73,446338800.0,449449200.0,0.03235370488523103
74,456706800.0,459817200.0,0.02275306038508473
75,473986800.0,477097200.0,0.035630910291394355
76,509583600.0,512694000.0,0.10235433913676464
77,519260400.0,522370800.0,0.05987511790178382
78,670978800.0,674089200.0,0.045870065243813575
79,783298800.0,786409200.0,0.013867122806697638
80,790210800.0,793321200.0,0.002291341426879922
81,816476400.0,819932400.0,0.09148208671237167
82,882831600.0,885942000.0,0.02996006508434604
83,946422000.0,949532400.0,0.010000030753450325
